iter	Passed	Remaining
0	181	54197
1	184	27496
2	187	18532
3	189	14005
4	191	11270
5	193	9474
6	195	8174
7	197	7212
8	199	6464
9	201	5848
10	206	5425
11	208	5004
12	211	4665
13	213	4367
14	215	4091
15	216	3847
16	218	3637
17	220	3450
18	222	3292
19	224	3142
20	226	3014
21	229	2894
22	230	2781
23	232	2672
24	234	2574
25	235	2484
26	237	2403
27	239	2330
28	242	2262
29	243	2193
30	245	2132
31	247	2072
32	249	2016
33	252	1976
34	261	1976
35	263	1931
36	266	1896
37	268	1850
38	270	1813
39	284	1848
40	286	1809
41	288	1771
42	289	1732
43	291	1698
44	294	1666
45	296	1634
46	298	1604
47	300	1576
48	301	1545
49	303	1516
50	307	1502
51	309	1474
52	310	1447
53	313	1429
54	315	1407
55	317	1382
56	319	1363
57	321	1340
58	322	1318
59	325	1301
60	327	1281
61	328	1261
62	330	1241
63	331	1223
64	333	1205
65	334	1187
66	336	1170
67	338	1153
68	339	1136
69	341	1120
70	342	1104
71	343	1087
72	345	1073
73	346	1058
74	348	1044
75	349	1030
76	351	1016
77	352	1003
78	354	991
79	355	977
80	356	965
81	358	953
82	359	941
83	361	929
84	362	917
85	364	907
86	365	896
87	367	886
88	369	876
89	371	867
90	373	857
91	374	846
92	375	836
93	377	827
94	379	818
95	380	808
96	381	799
97	384	792
98	385	783
99	387	774
100	388	766
101	390	758
102	392	750
103	393	742
104	395	734
105	397	726
106	399	719
107	400	712
108	401	704
109	403	696
110	405	689
111	406	682
112	407	674
113	408	666
114	410	660
115	412	653
116	413	646
117	414	639
118	416	633
119	418	627
120	419	620
121	421	614
122	422	607
123	423	601
124	425	595
125	426	589
126	428	583
127	430	578
128	432	572
129	433	566
130	434	561
131	436	556
132	438	550
133	439	544
134	440	538
135	443	534
136	444	529
137	446	523
138	447	518
139	448	513
140	450	508
141	451	502
142	453	497
143	454	492
144	456	487
145	458	483
146	459	478
147	461	473
148	463	469
149	464	464
150	465	459
151	467	454
152	468	450
153	470	445
154	471	441
155	473	437
156	475	433
157	477	428
158	478	424
159	480	420
160	481	415
161	483	411
162	484	407
163	486	403
164	488	399
165	490	395
166	492	391
167	493	387
168	495	384
169	497	380
170	498	376
171	500	372
172	502	369
173	504	365
174	505	361
175	506	357
176	508	353
177	510	349
178	511	345
179	512	341
180	514	338
181	515	334
182	517	330
183	518	327
184	520	323
185	521	319
186	523	316
187	524	312
188	526	308
189	527	305
190	528	301
191	530	298
192	531	294
193	533	291
194	535	288
195	536	284
196	538	281
197	539	277
198	541	274
199	542	271
200	543	267
201	545	264
202	546	261
203	547	257
204	549	254
205	550	251
206	552	248
207	553	244
208	555	241
209	556	238
210	557	235
211	559	232
212	560	228
213	562	225
214	563	222
215	565	219
216	566	216
217	568	213
218	569	210
219	570	207
220	572	204
221	574	201
222	576	198
223	577	196
224	579	193
225	581	190
226	582	187
227	583	184
228	585	181
229	586	178
230	588	175
231	589	172
232	590	169
233	592	167
234	593	164
235	595	161
236	597	158
237	598	155
238	600	153
239	602	150
240	603	147
241	605	145
242	607	142
243	608	139
244	611	137
245	613	134
246	614	131
247	616	129
248	617	126
249	619	123
250	621	121
251	623	118
252	624	116
253	626	113
254	628	110
255	630	108
256	633	105
257	634	103
258	636	100
259	639	98
260	641	95
261	642	93
262	644	90
263	646	88
264	647	85
265	649	83
266	651	80
267	652	77
268	654	75
269	656	72
270	657	70
271	659	67
272	660	65
273	661	62
274	663	60
275	664	57
276	666	55
277	667	52
278	669	50
279	671	47
280	672	45
281	674	43
282	676	40
283	678	38
284	680	35
285	681	33
286	683	30
287	685	28
288	686	26
289	688	23
290	689	21
291	691	18
292	693	16
293	695	14
294	696	11
295	698	9
296	700	7
297	702	4
298	703	2
299	705	0
